last_name, first_name,player_id,year,on_base_plus_slg
Pujols, Albert,405395,2019,0.735
Cabrera, Miguel,408234,2019,0.744
Mathis, Jeff,425772,2019,0.433
Choo, Shin-Soo,425783,2019,0.826
Rivera, René,425784,2019,0.762
Wainwright, Adam,425794,2019,0.409
Greinke, Zack,425844,2019,0.888
Molina, Yadier,425877,2019,0.711
Canó, Robinson,429664,2019,0.735
Encarnación, Edwin,429665,2019,0.875
Hamels, Cole,430935,2019,0.345
Jones, Adam,430945,2019,0.727
Martin, Russell,431145,2019,0.667
Granderson, Curtis,434158,2019,0.637
Davis, Rajai,434658,2019,0.631
Ramirez, Hanley,434670,2019,0.625
Sánchez, Aníbal,434671,2019,0.23
Morales, Kendrys,434778,2019,0.566
Kendrick, Howie,435062,2019,0.967
Wilson, Bobby,435064,2019,0.244
Kinsler, Ian,435079,2019,0.646
McCann, Brian,435263,2019,0.735
Walker, Neil,435522,2019,0.739
Suzuki, Kurt,435559,2019,0.81
Desmond, Ian,435622,2019,0.789
Cruz , Nelson,443558,2019,1.031
Trumbo, Mark,444432,2019,0.502
Peralta, David,444482,2019,0.804
Piña, Manny,444489,2019,0.724
Jay, Jon,445055,2019,0.626
Prado, Martín,445988,2019,0.559
Duda, Lucas,446263,2019,0.576
Wieters, Matt,446308,2019,0.703
Longoria, Evan,446334,2019,0.762
Cozart, Zack,446359,2019,0.322
Rodríguez, Sean,446481,2019,0.723
Hill, Rich,448179,2019,0.433
Reynolds, Mark,448602,2019,0.601
Davis, Chris,448801,2019,0.602
Vargas, Jason,450306,2019,0.15
Zobrist, Ben,450314,2019,0.671
Fowler, Dexter,451594,2019,0.755
Flowers, Tyler,452095,2019,0.732
Pence, Hunter,452254,2019,0.91
Lester, Jon,452657,2019,0.556
Cabrera, Asdrúbal,452678,2019,0.783
Tulowitzki, Troy,453064,2019,0.853
Scherzer, Max,453286,2019,0.364
Arrieta, Jake,453562,2019,0.352
Blackmon, Charlie,453568,2019,0.94
Frazier, Todd,453943,2019,0.772
Iannetta, Chris,455104,2019,0.728
Maldonado, Martín,455117,2019,0.671
Chirinos, Robinson,455139,2019,0.79
Markakis, Nick,455976,2019,0.776
Pedroia, Dustin,456030,2019,0.243
Castillo, Welington,456078,2019,0.684
