last_name, first_name,player_id,year,r_total_stolen_base
Beltre, Adrian,134181,2018,1
Suzuki, Ichiro,400085,2018,0
Martinez, Victor,400121,2018,0
Utley, Chase,400284,2018,3
Pujols, Albert,405395,2018,1
Holliday, Matt,407812,2018,0
Mauer, Joe,408045,2018,0
Cabrera, Miguel,408234,2018,0
Gonzalez, Adrian,408236,2018,0
Phillips, Brandon,408252,2018,0
Reyes, Jose,408314,2018,5
Mathis, Jeff,425772,2018,0
Choo, Shin-Soo,425783,2018,6
Rivera, Rene,425784,2018,0
Wainwright, Adam,425794,2018,0
Greinke, Zack,425844,2018,3
Molina, Yadier,425877,2018,4
Canó, Robinson,429664,2018,0
Encarnacion, Edwin,429665,2018,3
Bautista, Jose,430832,2018,4
Hamels, Cole,430935,2018,0
Jones, Adam,430945,2018,7
Martin, Russell,431145,2018,0
Granderson, Curtis,434158,2018,2
Davis, Rajai,434658,2018,21
Ramirez, Hanley,434670,2018,4
Sanchez, Anibal,434671,2018,0
Morales, Kendrys,434778,2018,2
Kendrick, Howie,435062,2018,1
Wilson, Bobby,435064,2018,0
Kinsler, Ian,435079,2018,16
McCarthy, Brandon,435221,2018,0
McCann, Brian,435263,2018,0
Walker, Neil,435522,2018,0
Suzuki, Kurt,435559,2018,0
Desmond, Ian,435622,2018,20
Cruz , Nelson,443558,2018,1
Trumbo, Mark,444432,2018,0
Peralta, David,444482,2018,4
Pina, Manny,444489,2018,2
Escobar, Alcides,444876,2018,8
Jay, Jon,445055,2018,4
Prado, Martin,445988,2018,1
Moore, Adam,446192,2018,0
Duda, Lucas,446263,2018,1
Wieters, Matt,446308,2018,0
Longoria, Evan,446334,2018,3
Cozart, Zack,446359,2018,0
Guyer, Brandon,446386,2018,1
Rodriguez, Sean,446481,2018,1
Lobaton, Jose,446653,2018,0
Hill, Rich,448179,2018,0
Reynolds, Mark,448602,2018,0
Davis, Chris,448801,2018,2
Guerra, Junior,448855,2018,0
Orlando, Paulo,449181,2018,0
Vargas, Jason,450306,2018,0
Zobrist, Ben,450314,2018,3
Adduci, James,451192,2018,1
Fowler, Dexter,451594,2018,5
Flowers, Tyler,452095,2018,0
Headley, Chase,452104,2018,0
Pence, Hunter,452254,2018,5
Span, Denard,452655,2018,9
Lester, Jon,452657,2018,0
Cabrera, Asdrúbal,452678,2018,0
Robinson, Shane,453203,2018,1
Scherzer, Max,453286,2018,1
Buchholz, Clay,453329,2018,0
Richard, Clayton,453385,2018,0
Arrieta, Jake,453562,2018,0
Blackmon, Charlie,453568,2018,12
Blanco, Gregor,453923,2018,6
Frazier, Todd,453943,2018,9
Ellis, A.J.,454560,2018,0
Iannetta, Chris,455104,2018,0
Maldonado, Martín,455117,2018,0
Chirinos, Robinson,455139,2018,2
Stewart, Chris,455755,2018,0
Young, Chris,455759,2018,2
Markakis, Nick,455976,2018,1
