player_id,last_name,first_name,team_name,start_year,end_year,sb_attempts,catcher_stealing_runs,caught_stealing_above_average,n_cs,rate_cs,est_cs_pct,cs_aa_per_throw,seasonal_runner_speed,runner_distance_from_second,pop_time,exchange_time,arm_strength,n_xcs_with_flight_over_xcs,n_xcs_with_exchange_over_xcs,n_xcs_with_accuracy_over_xcs,n_xcs_with_ground_other_over_xcs,n_xcs_with_onfly_other_over_xcs,n_xcs_with_untracked_other_over_xcs
669087,Huff, Sam,TEX,2020,2021,2,-0.433983274,-0.667666576,0,0,0.333833288,-0.333833288,29,59.25336339,1.942,0.793,83.49358,0.268763207,-0.185053448,-0.534569435,-0.2168069,0,0
663698,Bart, Joey,SF,2020,2021,19,0.569318117,0.875874025,4,0.210526316,0.164427683,0.046098633,27.65263158,53.92415415,2.009916667,0.742583333,78.07543917,0.329095822,-0.078187548,0.186888991,-0.04572993,0.483806691,0
664926,Dini, Nick,KC,2019,2019,4,0.632543559,0.973143937,2,0.5,0.256714016,0.243285984,28.475,54.66503542,2.001,0.786333333,80.10233333,0.124502615,-0.126767585,0.276827373,0,0.698581533,0
543228,Gomes, Yan,OAK,2019,2021,97,2.787516471,4.288486878,27,0.278350515,0.234139311,0.044211205,28.38247423,56.25659974,1.966359375,0.68090625,76.3252525,-3.35063903,9.548668292,-2.201612513,2.137987153,-1.486054005,-0.359863019
488671,Avila, Alex,WSH,2019,2021,37,3.567246641,5.488071755,17,0.459459459,0.311133196,0.148326264,28.25135135,56.85972096,2.008970588,0.723264706,77.02680235,-1.088934104,1.514881562,4.032556934,0.440751309,0.113061093,0.475754961
606992,Haase, Eric,DET,2019,2021,32,0.757073006,1.164727701,8,0.25,0.213602259,0.036397741,28.571875,56.9406529,1.907416667,0.718541667,81.45363292,2.276107137,0.338439823,-0.360479328,0.385814511,-1.475154443,0
641680,Heim, Jonah,TEX,2020,2021,27,-1.322175258,-2.034115782,8,0.296296296,0.371633918,-0.075337622,27.95185185,58.98058375,1.991666667,0.785291667,80.85427375,1.983279517,-2.144468558,0.596272359,-0.138210061,-1.501062262,-0.829926777
543308,Hicks, John,TEX,2019,2021,29,1.204408208,1.852935705,10,0.344827586,0.280933252,0.063894335,28.54482759,56.81272368,2.0036,0.70335,79.50696474,0.573235135,0.570814049,2.036792877,0.122025438,-1.165409636,-0.284522158
621529,Hudson, Joe,SEA,2019,2020,3,-0.143462961,-0.220712248,0,0,0.073570749,-0.073570749,28.66666667,54.55168924,2.029,0.721,75.61391,-0.035808513,-0.075447886,0.009404407,0,-0.118860256,0
456124,Kratz, Erik,NYY,2019,2020,12,0.583745021,0.898069262,5,0.416666667,0.341827561,0.074839105,27.98333333,57.72847396,2,0.751727273,79.84113333,0.584060662,-0.146787691,1.65588726,-0.123776649,-1.07131432,0
571912,Maile, Luke,MIL,2019,2021,20,-0.088699845,-0.136461299,5,0.25,0.256823065,-0.006823065,28.135,54.76018106,1.986461538,0.724230769,79.91577923,0.472767296,0.36661643,0.128069605,-0.322895412,-0.686145474,-0.094873745
608596,Murphy, Tom,SEA,2019,2021,58,-0.194960221,-0.299938801,16,0.275862069,0.281033428,-0.005171359,28.10689655,57.25913421,2.043428571,0.78197619,79.93521488,2.196363401,-4.142016954,-0.897184723,0.420080439,2.256110308,-0.133291272
624513,Nuñez, Dom,COL,2019,2021,33,-1.000030941,-1.53850914,8,0.242424242,0.289045732,-0.046621489,27.8969697,57.08025074,2.013185185,0.724666667,75.61914889,-2.277541029,0.878691069,-0.186611381,-0.338008226,0.384960427,0
650968,Pozo, Yohel,TEX,2021,2021,1,-0.307612947,-0.473250688,0,0,0.473250688,-0.473250688,29.1,62.87261492,2.21,1.033,82.94638,0.230540786,-0.35951112,-0.344280354,0,0,0
669257,Smith, Will,LAD,2019,2021,97,1.465863382,2.255174434,23,0.237113402,0.213864181,0.023249221,28.06907217,55.23616632,1.973146667,0.746853333,79.67568813,2.868932197,-0.947718034,3.637054518,-1.596531943,-1.611276007,-0.095286297
545358,Stassi, Max,LAA,2019,2021,65,-1.96481765,-3.022796385,11,0.169230769,0.215735329,-0.04650456,28.1,55.28610612,1.999568627,0.717294118,76.9734058,-1.456053208,2.658282669,-1.340359608,2.420663799,-4.855781163,-0.449548874
656180,Adams, Riley,WSH,2021,2021,17,-0.946419173,-1.456029497,2,0.117647059,0.203295853,-0.085648794,28.28823529,56.42916822,2.02425,0.855833333,82.21957667,1.087483841,-1.757525775,-1.350710562,0.012867192,0.551855807,0
542963,Brantly, Rob,NYY,2019,2021,5,0.608595934,0.936301437,2,0.4,0.212739713,0.187260287,28.1,56.13359393,2.0338,0.7112,73.07938,-0.46990322,0.34034499,0.687640043,-0.103990353,0.482209977,0
460077,Butera, Drew,LAA,2019,2021,11,0.78366792,1.205642954,4,0.363636364,0.254032459,0.109603905,27.80909091,55.6179915,1.922111111,0.748333333,82.751,1.310579517,0.094027505,0.40132388,-0.020543283,-0.579744665,0
592200,Casali, Curt,SF,2019,2021,46,-1.399019052,-2.152337004,8,0.173913043,0.220702978,-0.046789935,28.3173913,55.74971283,2.033088235,0.755058824,76.70337788,-1.614044356,-0.976232055,0.554554415,3.02217112,-3.138786127,0
624419,Ciuffo, Nick,BAL,2019,2021,3,0.131294515,0.201991561,1,0.333333333,0.266002813,0.06733052,28.13333333,55.29211362,1.888,0.713333333,83.35529333,0.39841478,0.182433515,-0.725300956,0,0.346444223,0
