player_id,last_name,first_name,team_name,start_year,end_year,sb_attempts,catcher_stealing_runs,caught_stealing_above_average,n_cs,rate_cs,est_cs_pct,cs_aa_per_throw,seasonal_runner_speed,runner_distance_from_second,pop_time,exchange_time,arm_strength,n_xcs_with_flight_over_xcs,n_xcs_with_exchange_over_xcs,n_xcs_with_accuracy_over_xcs,n_xcs_with_ground_other_over_xcs,n_xcs_with_onfly_other_over_xcs,n_xcs_with_untracked_other_over_xcs
669087,Huff, Sam,TEX,2020,2020,2,-0.433983274,-0.667666576,0,0,0.333833288,-0.333833288,29,59.25336339,1.942,0.793,83.49358,0.268763207,-0.185053448,-0.534569435,-0.2168069,0,0
663698,Bart, Joey,SF,2020,2020,19,0.569318117,0.875874025,4,0.210526316,0.164427683,0.046098633,27.65263158,53.92415415,2.009916667,0.742583333,78.07543917,0.329095822,-0.078187548,0.186888991,-0.04572993,0.483806691,0
488810,Cruz, Tony,CIN,2018,2018,1,-0.141607419,-0.217857567,0,0,0.217857567,-0.217857567,29.4,56.6618478,2.071,0.782,79.123,-0.009126242,-0.050201435,0.054701803,0,-0.213231694,0
664926,Dini, Nick,KC,2019,2019,4,0.632543559,0.973143937,2,0.5,0.256714016,0.243285984,28.475,54.66503542,2.001,0.786333333,80.10233333,0.124502615,-0.126767585,0.276827373,0,0.698581533,0
543228,Gomes, Yan,WSH,2018,2020,99,-0.357501707,-0.550002627,26,0.262626263,0.268181845,-0.005555582,28.37373737,55.6466293,1.964540984,0.678278689,77.79176689,-1.854686443,6.521211783,-2.028240964,1.067988491,-3.576357745,-0.679917749
488671,Avila, Alex,MIN,2018,2020,45,4.299997373,6.615380574,19,0.422222222,0.275213765,0.147008457,28.46222222,55.94695187,2.002615385,0.722025641,78.14884154,-0.51801836,1.079900269,3.275039026,1.169202146,1.609257493,0
542908,Bandy, Jett,MIL,2018,2018,7,0.326515851,0.502332079,3,0.428571429,0.356809703,0.071761726,28.48571429,58.65825362,2.0356,0.737,78.5656,-0.13545162,0.316675546,-0.282842821,0,0.603950974,0
576788,Butler, Dan,BOS,2018,2018,4,0.753546777,1.159302734,2,0.5,0.210174317,0.289825683,27.775,53.92977672,2.013,0.728,78.5405,-0.023549034,0.146284421,-0.070277362,0,0.251242797,0.855601911
454560,Ellis, A.J.,SD,2018,2018,22,-1.648983914,-2.536898329,4,0.181818182,0.297131742,-0.11531356,27.95454546,55.33836072,2.059111111,0.706555556,75.3995,-2.229273778,1.405873502,-0.312663584,0.416366523,-1.817200992,0
606992,Haase, Eric,DET,2018,2020,11,-0.440126143,-0.677117143,2,0.181818182,0.243374286,-0.061556104,28.82727273,57.23971862,1.870571429,0.691571429,81.88008571,0.793965288,0.800716346,-1.283649514,0.223509095,-1.211658358,0
