player_id,last_name,first_name,team_name,start_year,end_year,pitches,catcher_blocking_runs,blocks_above_average,n_pbwp,x_pbwp,blocks_above_average_per_game,freq_pbwp_easy,freq_pbwp_medium,freq_pbwp_tough,diff_pbwp_easy,diff_pbwp_medium,diff_pbwp_tough
607732,Stallings, Jacob,PIT,2019,,8130,10,40,61,100.9076168,0.196347438,0.930873309,0.053505535,0.015621156,19.61558483,16.69746665,3.594565298
547379,Pérez, Roberto,CLE,2019,,6656,9,37,42,78.86833324,0.221564503,0.93734976,0.046424279,0.016225962,6.662555719,14.98870463,15.21707289
643376,Jansen, Danny,TOR,2019,,7909,8,32,67,98.8882141,0.16127558,0.935895815,0.046655709,0.017448476,10.36244553,13.91269007,7.613078503
571466,Barnhart, Tucker,CIN,2019,,8668,8,32,66,97.56389225,0.145657094,0.94035533,0.045685279,0.013959391,11.66183514,12.36419396,7.537863154
592663,Realmuto, J.T.,PHI,2019,,10787,8,30,77,107.4211828,0.112806833,0.950310559,0.037174377,0.012515064,8.602091416,20.93682368,0.882267719
457763,Posey, Buster,SF,2019,,7054,6,25,40,64.87948913,0.141080177,0.953359796,0.035440885,0.01119932,10.87173951,3.957876151,10.04987347
543228,Gomes, Yan,OAK,2019,,8292,6,23,62,84.89344255,0.110436288,0.944524843,0.045103714,0.010371442,2.997949208,10.58872232,9.306771022
595978,Hedges, Austin,CLE,2019,,7615,5,19,70,88.77653217,0.098629191,0.940118188,0.04438608,0.015495732,0.834465506,10.21576083,7.726305835
595956,Gallagher, Cam,KC,2019,,3845,4,17,32,49.0724612,0.177606879,0.930819246,0.052535761,0.016644993,4.723303717,3.730192728,8.618964755
575929,Contreras, Willson,CHC,2019,,9843,4,17,89,106.1061194,0.069515877,0.942700396,0.044600224,0.01269938,-3.038211344,8.430087402,11.7142433
488671,Avila, Alex,WSH,2019,,3358,4,16,20,36.32723065,0.19448756,0.94192972,0.043180465,0.014889815,1.495518432,9.30080731,5.530904904
605421,Pérez, Michael,PIT,2019,,3910,4,15,35,50.16304304,0.155120645,0.937340153,0.046803069,0.015856777,8.115456442,2.410932733,4.636653864
455139,Chirinos, Robinson,CHC,2019,,5940,4,15,49,63.66679882,0.098766322,0.943097643,0.043602694,0.013299663,2.88050733,5.700290665,6.08600083
455117,Maldonado, Martín,HOU,2019,,10464,4,15,103,118.4962324,0.059236362,0.941227064,0.043577982,0.015194954,3.102362872,8.430289611,3.963579942
444489,Piña, Manny,MIL,2019,,4253,3,12,25,37.46167274,0.1172036,0.955560781,0.036915119,0.007524101,4.159410811,8.784164619,-0.481902694
425877,Molina, Yadier,STL,2019,,10086,3,12,96,107.8531924,0.047008496,0.942891136,0.042930795,0.014178069,9.055647307,-1.412198201,4.209743265
608348,Kelly, Carson,AZ,2019,,8028,3,10,70,80.39022667,0.051769939,0.9418286,0.048081714,0.010089686,-4.257155916,11.89809379,2.749288796
624431,Trevino, Jose,TEX,2019,,5636,2,9,60,68.90033749,0.063167761,0.943044713,0.042938254,0.014017033,9.814964606,-0.201072799,-0.713554315
519390,Vogt, Stephen,ATL,2019,,5046,2,8,53,60.59993285,0.060245207,0.939754261,0.044589774,0.015655965,3.686295455,2.049534497,1.864102897
624512,McGuire, Reese,TOR,2019,,4020,2,7,38,45.34884975,0.073122883,0.941044776,0.047014925,0.011940299,2.38419318,0.469519543,4.49513703
669221,Murphy, Sean,OAK,2019,,5733,2,7,59,66.48838582,0.05224759,0.941915228,0.045351474,0.012733298,4.35382525,-0.306694086,3.441254653
553869,Díaz, Elias,COL,2019,,7955,2,7,92,98.65971107,0.033486919,0.940540541,0.044123193,0.015336266,5.14499791,-4.224087598,5.738800762
571974,Murphy, John Ryan,PIT,2019,,1399,1,6,12,17.74445053,0.164244475,0.934238742,0.049320944,0.016440315,-0.152832893,1.403335613,4.493947811
519222,Romine, Austin,CHC,2019,,4572,1,6,39,44.994474,0.052445092,0.953193351,0.035433071,0.011373578,-2.750861694,5.473521437,3.271814256
543148,Federowicz, Tim,TEX,2019,,1040,1,5,8,12.9905615,0.191944673,0.934615385,0.045192308,0.020192308,0.024653997,0.950108682,4.015798818
571912,Maile, Luke,MIL,2019,,1973,1,5,20,25.16111208,0.104634811,0.928028383,0.054738976,0.017232641,-1.002169286,4.803569814,1.359711549
543592,Nola, Austin,SD,2019,,3499,1,5,38,43.40796045,0.061822926,0.934838525,0.049442698,0.015718777,1.502736664,2.596476258,1.308747524
543309,Higashioka, Kyle,NYY,2019,,3067,1,5,32,36.71895051,0.061544839,0.934137594,0.050864037,0.01499837,2.009711794,2.490304847,0.21893387
666163,Rortvedt, Ben,MIN,2021,,1219,1,4,9,13.02806359,0.132176,0.940935193,0.051681706,0.007383101,1.679235621,1.259814464,1.089013509
460077,Butera, Drew,LAA,2019,,1590,1,4,13,17.36461909,0.109801738,0.947798742,0.037735849,0.014465409,1.592447072,2.196420211,0.575751811
605131,Barnes, Austin,LAD,2019,,4537,1,4,43,47.13504256,0.036456183,0.948203659,0.040775843,0.011020498,2.479720729,1.317703448,0.337618381
547172,Wolters, Tony,CHC,2019,,5650,1,4,66,70.08205334,0.028899493,0.933097345,0.052212389,0.014690265,-3.818891681,4.502662279,3.398282741
605170,Caratini, Victor,SD,2019,,5765,1,4,55,59.12907383,0.028649255,0.945706852,0.041457069,0.01283608,4.362691133,1.547762466,-1.781379772
435064,Wilson, Bobby,DET,2019,,579,1,3,1,3.680080904,0.185152394,0.965457686,0.029360967,0.005181347,0.682243845,1.43605755,0.561779509
